name,position,pro_team,PTS,BLK,STL,AST,OREB,DREB,REB,PF,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN,GP
Carmelo Anthony,PF,POR,15.142857142857142,0.42857142857142855,0.7755102040816326,1.510204081632653,1.2448979591836735,5.081632653061225,6.326530612244898,2.836734693877551,1.7551020408163265,5.714285714285714,13.53061224489796,2.2857142857142856,2.693877551020408,1.4285714285714286,3.8979591836734695,0.42232278,0.84848485,0.36649215,32.46938776,32.46938775510204,1.0
DeAndre Jordan,C,BKN,8.309090909090909,0.9454545454545454,0.32727272727272727,1.8909090909090909,2.4909090909090907,7.490909090909091,9.981818181818182,2.036363636363636,1.3454545454545455,3.4,5.090909090909091,1.509090909090909,2.1818181818181817,0.0,0.0,0.66785714,0.69166667,0.0,21.92727273,21.927272727272726,0.09090909090909091
Donte DiVincenzo,SG,MIL,9.389830508474576,0.3050847457627119,1.3559322033898304,2.305084745762712,1.0,3.8983050847457625,4.898305084745763,1.6440677966101696,1.2203389830508475,3.542372881355932,7.661016949152542,1.0169491525423728,1.3220338983050848,1.2881355932203389,3.7457627118644066,0.46238938,0.76923077,0.3438914,23.10169492,23.10169491525424,0.3728813559322034
Davis Bertans,PF,WAS,15.528301886792454,0.6226415094339622,0.6981132075471698,1.679245283018868,0.660377358490566,3.9245283018867925,4.584905660377358,2.5283018867924527,1.0943396226415094,4.943396226415095,11.339622641509434,1.9245283018867925,2.2452830188679247,3.7169811320754715,8.735849056603774,0.4359401,0.85714286,0.42548596,29.30188679,29.30188679245283,0.07547169811320754
Willie Cauley-Stein,C,DAL,7.245283018867925,1.150943396226415,0.9245283018867925,1.320754716981132,1.5660377358490567,4.245283018867925,5.811320754716981,2.2641509433962264,0.7358490566037735,3.2452830188679247,5.6415094339622645,0.7547169811320755,1.2452830188679245,0.0,0.018867924528301886,0.57525084,0.60606061,0.0,20.49056604,20.49056603773585,0.7358490566037735
Tim Hardaway Jr.,SG,DAL,15.80327868852459,0.08196721311475409,0.5901639344262295,1.9672131147540983,0.36065573770491804,2.6885245901639343,3.0491803278688523,1.6721311475409837,0.9836065573770492,5.475409836065574,12.459016393442623,1.9508196721311475,2.4098360655737703,2.901639344262295,7.114754098360656,0.43947368,0.80952381,0.4078341,28.50819672,28.508196721311474,0.7868852459016393
Dillon Brooks,SG,MEM,15.609375,0.390625,0.875,1.984375,0.953125,2.375,3.328125,3.78125,1.625,5.703125,14.203125,2.203125,2.734375,2.0,5.484375,0.40154015,0.80571429,0.36467236,28.390625,28.390625,1.0
Klay Thompson,SG,GSW,,,,,,,,,,,,,,,,,,,,,
Seth Curry,SG,PHL,12.576271186440678,0.13559322033898305,0.6101694915254238,2.016949152542373,0.4406779661016949,1.9152542372881356,2.3559322033898304,1.7118644067796611,1.0169491525423728,4.508474576271187,9.016949152542374,1.2542372881355932,1.4915254237288136,2.305084745762712,5.084745762711864,0.5,0.84090909,0.45333333,24.55932203,24.559322033898304,0.3389830508474576
Deni Avdija,SF,WAS,,,,,,,,,,,,,,,,,,,,,
